S.No,Name of the component,Location ,Category,Quantity
1,Sensor / Ultrasonic / HC-SR04,(to be labelled),Resuable,92
2,PCB Dot Board,SB3,,63
3,Prototype board,SB3,,3
4,Diodes,SD2,,
5,Buzzer,SA1,,9
6,Load sensor 50kg(strain gauge),SA1,,3
7,Load sensor 40kg,SA1,,1
8,Load sensor 10kg,SA1,,1
9,Load sensor 5kg,SA1,,3
10,ADC board,SA1,,2
11,Dust sensor,SA1,,3
12,Battery holder AA 2cells,SA2,,22
13,Battery holder AA 1 cell,SA2,,8
14,Battery holder AA 2cells,SA2,,10
15,Connector cable DC jack female ,SA2,,7
16,RS232,SD3,,7
17,RTC Module,SD3,,2
18,USB to TTL,SD3,,26
19,RS232 to TTL,SD3,,11
20,Heat sink(IC),SA3,,23
21,Converter board hdmi-hdmi,SA3,,5
22,Converter hdmi-dvi,SA3,,10
23,casing rpi,SA4,,9
24,casing rpi pico,SA4,,2
25,FRC cable ,SA5,,4
26,Rpi camera ,SA5,,1
27,Cable instrument test line,SB1,,4
28,ESD ground cord,SB1,,4
29,Grounding wrist wrap,SB1,,2
30,Banana cable ,SB1,,2
31,Banana connector,SB1,,1
32,LORA development kit,not labelled (SJ1),,12
33,DTMF Decoder,not labelled (SJ1),,7
34,dual motor driver,not labelled (SJ1),,3
35,bluetooth module,not labelled (SJ1),,25
36,zigbee module,not labelled (SJ1),,10
37,Shield (ethernet for arduino),SB2,,10
38,SHIELD for ardiuno L293d-r1,SB2,,2
39,SHIELD for ardiuno L293d,SB2,,3
40,sim 800 A,SB2,,3
41,sim 808 GSM-GPS modem ,SB2,,2
42,SIM 900 GSM,SB2,,2
43,ARDUINO GSM 2 SHIELD ,SB2,,1
44,PLC modem,SB5,,4
45,Weather shield,SB5,,1
46,Esp 12 development board,SB5,,3
47,can bus shield,SB5,,3
48,CNC shield,SB5,,3
49,Odroid xu4 shield,SB5,,4
50,Berge pins/male,SG2,,
51,Berge pins/female,SG2,,
52,IC Base,SG2,,
53,step up boost transformer,SC1,,1
54,Load sensor 20kg,SA1,,1
55,Step down,SC1,,2
54,BSM 2 s,SC1,,3
55,Voltage regulator ,SC1,,1
56,Rpi Gpio 40 pin cable ,SC2,,13
57,T shaped rpi extension board,SC2,,12
58, U shaped rpi extension board,SC2,,9
59,7 segment displa,SC4,,92
60,Rf 434 Mhz TX &rx ,SC4,,40
61,Shield  Xbee,SC4,,2
